,zipcode,city,state,popsum
2,1001,Agawam,Massachusetts,20545.0
3,1002,Amherst,Massachusetts,33219.0
4,1003,Amherst,Massachusetts,23661.0
6,1005,Barre,Massachusetts,8151.0
7,1007,Belchertown,Massachusetts,30796.0
8,1008,Blandford,Massachusetts,1028.0
9,1009,Bondsville,Massachusetts,1977.0
10,1010,Brimfield,Massachusetts,6093.0
11,1011,Chester,Massachusetts,3571.0
12,1012,Chesterfield,Massachusetts,1717.0
13,1013,Chicopee,Massachusetts,24405.0
15,1020,Chicopee,Massachusetts,80009.0
17,1022,Chicopee,Massachusetts,4147.0
18,1026,Cummington,Massachusetts,1642.0
19,1027,Easthampton,Massachusetts,36853.0
20,1028,East Longmeadow,Massachusetts,41228.0
21,1029,East Otis,Massachusetts,1336.0
22,1030,Feeding Hills,Massachusetts,30695.0
23,1031,Gilbertville,Massachusetts,2943.0
24,1032,Goshen,Massachusetts,1474.0
25,1033,Granby,Massachusetts,6593.0
26,1034,Granville,Massachusetts,3464.0
27,1035,Hadley,Massachusetts,8648.0
28,1036,Hampden,Massachusetts,13107.0
29,1037,Hardwick,Massachusetts,2174.0
30,1038,Hatfield,Massachusetts,6496.0
31,1039,Haydenville,Massachusetts,2892.0
32,1040,Holyoke,Massachusetts,87089.0
34,1050,Huntington,Massachusetts,2077.0
35,1053,Leeds,Massachusetts,3813.0
36,1054,Leverett,Massachusetts,3539.0
37,1056,Ludlow,Massachusetts,36170.0
38,1057,Monson,Massachusetts,22767.0
40,1060,Northampton,Massachusetts,29508.0
42,1062,Florence,Massachusetts,31597.0
43,1063,Northampton,Massachusetts,1271.0
44,1066,North Hatfield,Massachusetts,173.0
45,1068,Oakham,Massachusetts,4985.0
46,1069,Palmer,Massachusetts,13488.0
47,1070,Plainfield,Massachusetts,996.0
48,1071,Russell,Massachusetts,4317.0
49,1072,Shutesbury,Massachusetts,4096.0
50,1073,Southampton,Massachusetts,6869.0
51,1074,South Barre,Massachusetts,822.0
52,1075,South Hadley,Massachusetts,46681.0
53,1077,Southwick,Massachusetts,11367.0
54,1079,Thorndike,Massachusetts,1765.0
55,1080,Three Rivers,Massachusetts,5297.0
56,1081,Wales,Massachusetts,2857.0
57,1082,Ware,Massachusetts,22109.0
58,1083,Warren,Massachusetts,7892.0
59,1084,West Chesterfield,Massachusetts,380.0
60,1085,Westfield,Massachusetts,44196.0
61,1086,Westfield,Massachusetts,781.0
62,1088,West Hatfield,Massachusetts,1374.0
63,1089,West Springfield,Massachusetts,62321.0
65,1092,West Warren,Massachusetts,2290.0
66,1093,Whately,Massachusetts,652.0
67,1094,Wheelwright,Massachusetts,763.0
68,1095,Wilbraham,Massachusetts,30067.0
69,1096,Williamsburg,Massachusetts,5741.0
70,1097,Woronoco,Massachusetts,76.0
71,1098,Worthington,Massachusetts,2989.0
74,1103,Springfield,Massachusetts,5120.0
75,1104,Springfield,Massachusetts,24637.0
76,1105,Springfield,Massachusetts,32417.0
77,1106,Longmeadow,Massachusetts,39001.0
78,1107,Springfield,Massachusetts,14905.0
79,1108,Springfield,Massachusetts,55196.0
80,1109,Springfield,Massachusetts,67941.0
84,1118,Springfield,Massachusetts,39186.0
85,1119,Springfield,Massachusetts,37445.0
86,1128,Springfield,Massachusetts,6397.0
87,1129,Springfield,Massachusetts,14897.0
91,1151,Indian Orchard,Massachusetts,5150.0
93,1199,Springfield,Massachusetts,0.0
94,1201,Pittsfield,Massachusetts,93452.0
97,1220,Adams,Massachusetts,13905.0
98,1222,Ashley Falls,Massachusetts,2134.0
99,1223,Becket,Massachusetts,5132.0
100,1224,Berkshire,Massachusetts,298.0
101,1225,Cheshire,Massachusetts,8157.0
102,1226,Dalton,Massachusetts,7488.0
104,1229,Glendale,Massachusetts,252.0
105,1230,Great Barrington,Massachusetts,18069.0
106,1235,Hinsdale,Massachusetts,3241.0
107,1236,Housatonic,Massachusetts,867.0
108,1237,Lanesborough,Massachusetts,6827.0
109,1238,Lee,Massachusetts,9666.0
110,1240,Lenox,Massachusetts,7553.0
111,1242,Lenox Dale,Massachusetts,1076.0
112,1243,Middlefield,Massachusetts,566.0
113,1244,Mill River,Massachusetts,327.0
114,1245,Monterey,Massachusetts,1593.0
115,1247,North Adams,Massachusetts,17919.0
117,1253,Otis,Massachusetts,1581.0
118,1254,Richmond,Massachusetts,2571.0
119,1255,Sandisfield,Massachusetts,857.0
120,1256,Savoy,Massachusetts,1453.0
121,1257,Sheffield,Massachusetts,3525.0
122,1258,South Egremont,Massachusetts,993.0
123,1259,Southfield,Massachusetts,1404.0
124,1260,South Lee,Massachusetts,299.0
125,1262,Stockbridge,Massachusetts,2631.0
127,1264,Tyringham,Massachusetts,306.0
128,1266,West Stockbridge,Massachusetts,3189.0
129,1267,Williamstown,Massachusetts,12217.0
130,1270,Windsor,Massachusetts,510.0
131,1301,Greenfield,Massachusetts,46877.0
133,1330,Ashfield,Massachusetts,3874.0
134,1331,Athol,Massachusetts,36409.0
135,1337,Bernardston,Massachusetts,5439.0
136,1338,Buckland,Massachusetts,428.0
137,1339,Charlemont,Massachusetts,2969.0
138,1340,Colrain,Massachusetts,1773.0
139,1341,Conway,Massachusetts,5095.0
140,1342,Deerfield,Massachusetts,3974.0
141,1343,Drury,Massachusetts,163.0
142,1344,Erving,Massachusetts,2485.0
143,1346,Heath,Massachusetts,940.0
144,1347,Lake Pleasant,Massachusetts,113.0
145,1349,Millers Falls,Massachusetts,1156.0
146,1350,Monroe Bridge,Massachusetts,326.0
147,1351,Montague,Massachusetts,4963.0
148,1354,Gill,Massachusetts,4089.0
149,1355,New Salem,Massachusetts,1993.0
150,1360,Northfield,Massachusetts,6150.0
151,1364,Orange,Massachusetts,12323.0
152,1366,Petersham,Massachusetts,2745.0
153,1367,Rowe,Massachusetts,851.0
154,1368,Royalston,Massachusetts,2139.0
155,1370,Shelburne Falls,Massachusetts,2767.0
156,1373,South Deerfield,Massachusetts,10564.0
157,1375,Sunderland,Massachusetts,3801.0
158,1376,Turners Falls,Massachusetts,14040.0
159,1378,Warwick,Massachusetts,2082.0
160,1379,Wendell,Massachusetts,2072.0
